date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2022-01-03,86,0,65,67,0,100,0,0,0,72,0,100,51,0,0,0,100,0,0,0,65,15,84,0,0,0,0,66,53
2022-01-04,86,0,65,67,0,100,0,0,0,72,0,100,51,0,0,0,100,0,0,0,65,15,84,0,0,0,0,66,53
2022-01-05,86,0,65,67,0,100,0,0,0,72,0,100,51,0,0,0,100,0,0,0,65,15,84,0,0,0,0,66,53
2022-01-06,86,0,65,67,0,100,0,0,0,72,0,100,51,0,0,0,100,0,0,0,65,15,84,0,0,0,0,66,53
2022-01-07,86,0,65,67,0,100,0,0,0,72,0,100,51,0,0,0,100,0,0,0,65,15,84,0,0,0,0,66,53
2022-01-10,86,0,65,67,0,100,0,0,0,72,0,100,51,0,0,0,100,0,0,0,65,15,84,0,0,0,0,66,53
2022-01-11,0,0,0,0,0,100,0,0,0,24,0,0,0,0,0,0,0,0,0,0,73,0,88,0,0,0,0,2,-5
2022-01-12,-100,100,-100,2,0,-100,100,100,0,-100,0,-100,-100,100,0,100,-100,0,0,0,-22,-59,-93,100,100,0,100,39,-100
2022-01-13,60,-17,76,42,0,100,-90,5,0,58,0,57,-2,-67,0,-100,47,0,0,0,81,27,100,-36,8,0,-100,61,-23
2022-01-14,-100,100,-100,-11,0,-100,100,100,0,-100,0,-100,-100,100,0,100,-100,0,0,0,-26,-58,-94,100,100,0,100,41,-100
2022-01-18,53,-15,72,36,0,100,-86,-15,0,41,0,66,-1,-78,0,-90,73,0,0,0,76,37,100,-18,0,0,-100,65,-23
2022-01-19,-100,100,-100,-11,0,-100,100,100,0,-100,0,-100,-100,100,0,100,-100,0,0,0,-26,-37,-94,100,100,0,100,41,-67
2022-01-20,48,8,35,52,0,77,-73,43,0,54,0,54,-3,-63,0,-47,48,0,0,0,74,18,73,-38,-7,0,-99,48,0
2022-01-21,-100,100,-100,-11,0,-100,100,100,0,-100,0,-100,0,100,0,100,-100,0,0,0,-26,-18,-94,100,100,0,100,41,0
2022-01-24,-100,100,-100,-23,0,-100,100,100,0,-100,0,-100,0,100,0,100,-100,0,0,0,-19,0,-84,100,100,0,100,48,0
2022-01-25,-100,100,-73,5,0,-100,100,100,0,-100,0,-100,0,90,0,100,-100,0,0,0,-28,0,-91,100,100,0,100,49,0
2022-01-26,-77,100,0,0,0,-100,27,100,0,-9,0,-100,0,0,0,100,-100,0,0,0,-30,0,-99,100,100,0,100,1,0
2022-01-27,0,0,0,0,0,-100,100,100,0,0,0,-77,0,1,0,0,-68,0,0,0,-28,0,-100,58,100,0,100,0,0
2022-01-28,0,0,0,0,0,-100,0,1,0,0,0,0,0,0,0,100,0,0,0,0,-27,0,-100,0,0,0,86,0,0
2022-01-31,0,0,0,0,0,-77,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,-16,0,0,0,63,2,0
2022-02-01,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0
2022-02-02,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0
2022-02-03,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0
2022-02-04,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,0
2022-02-07,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,0
2022-02-08,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,0
2022-02-09,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,1,0
2022-02-10,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,0
2022-02-11,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,0
2022-02-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,-27,0,0,0,0,0,0,1,0
2022-02-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,-27,0,0,0,0,0,0,0,0
2022-02-16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,-27,0,0,0,0,0,0,0,0
2022-02-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,-27,0,0,0,0,0,0,0,0
2022-02-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,-27,0,0,0,0,0,0,0,0
2022-02-22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,-27,0,0,0,0,0,0,0,0
2022-02-23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,-8,0,0,0,0,0,0,0,0
2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
